A1:1
B1:1
C1:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
D1:1
DOWN1:1
G***:5
LEFT1:1
R1:1
RIGHT1:1
U1:1
UP1:1
X1:1
Y1:1
